"","WT","TBET_0","IFNG_0","GATA3_0","IL2_0","IL4_0","RORGT_0","IL6_0","FOXP3_0","TGFB_0","IL10_0","SOCS1_0","SOCS2_0","SOCS3_0","IFNGe_0","IL12e_0","IL2e_0","IL4e_0","IL6e_0","TGFBe_0","IL10e_0","TCR_0","TBET_1","IFNG_1","GATA3_1","IL2_1","IL4_1","RORGT_1","IL6_1","FOXP3_1","TGFB_1","IL10_1","SOCS1_1","SOCS2_1","SOCS3_1","IFNGe_1","IL12e_1","IL2e_1","IL4e_1","IL6e_1","TGFBe_1","IL10e_1","TCR_1","SOCSall_0","SOCSall_1"
"Th17RTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th1R",2152,NA,840,1480,952,1160,1200,2112,804,584,1344,1092,1076,912,2152,4698,11188,22034,39030,69402,189112,NA,446496,432752,NA,181888,NA,NA,NA,222372,198220,186576,164416,190430,151744,292484,228540,180654,164550,172112,212802,188456,377568,250,136
"Th1RTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th1RTh17RTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,538,1537,9047,16635,16635,NA,NA,NA,12690,15648,28992,NA,NA,NA,NA,NA,6912,7058,9440,4304,NA,12005,13582,7588,NA,NA,16635,NA,NA
"Th2R",56,56,56,NA,24,28,32,64,56,112,NA,28,28,24,56,100,200,400,800,1504,1504,NA,NA,NA,474720,18336,26220,NA,NA,NA,NA,17978,9344,9172,11392,6154,2608,12715,14292,9572,NA,17955,19459,6,8
"Th2RTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th2RTh17RTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tr",243,348,129,75,408,99,162,324,364,NA,NA,39,NA,541,243,365,3804,4534,11955,20031,78242,NA,NA,15696,NA,43392,296964,NA,434432,NA,699832,762342,190816,163109,196388,94852,147984,96863,161892,154148,164458,233831,312073,NA,148
"Treg",709,1188,375,205,NA,293,382,764,NA,NA,NA,437,476,327,709,2433,NA,3416,8983,16615,67072,NA,NA,30272,NA,215520,128224,NA,NA,277550,119116,81680,57248,66524,97180,55790,50912,151118,89440,71816,113262,84046,151118,102,148
